rank,name,aggregateScore,sector,description,Deck Score,spelling_and_grammar,structure,clarity,length,startup Score,team,market,traction,hasEmail,founders,number of founders,timestamp
1,Yond,90.73285714285714,other,"Yond is a travel planning platform that brings social commerce to the $2Tn travel industry, allowing travellers to plan, book and be inspired by content they trust.",89.66428571428573,99.57142857142857,96,55,90,91,100,100,55,True,"Mark Merrywest, Emily Vinsen",2,2024-02-27 14:33:29
2,Elloe AI,89.048,other,Elloe AI is a Conversational AI platform that enhances customer engagement across various industries.,73.24,96.7,91,36,20,93,100,100,65,True,"Owen Sakawa, Jackson Mwaniki, Aaron Madolora",3,2024-02-27 14:33:29
3,Mindstrong,86.1,health_and_wellness,Mindstrong is a mental health startup that uses micronutrients to revolutionize mental health treatment.,66.5,95,83,40,0,91,100,100,55,True,"Dr Katie Cooper, Stefan Cataldo",2,2024-02-27 14:33:29
4,BUA FIT,84.84076923076924,health_and_wellness,BUA FIT is a wellness platform that empowers fitness partners to succeed and inspires people to live a healthier life.,86.60384615384615,96.76923076923077,91,45,100,84.4,61,100,100,False,David Stapleton,1,2024-02-27 14:33:29
5,Tradecard,83.27000000000001,financial_inclusion,"Tradecard is an all-in-one financial ecosystem for construction workers, offering smart cards for trades and automated bookkeeping.",88.35,95,100,39,90,82,100,100,10,True,"Jamie Euesden, Robbie Rice",2,2024-02-27 14:33:29
6,Collctiv,82.96000000000001,financial_inclusion,Collctiv helps people come together for the moments and experiences that matter by making it easy to collect and spend group money.,86.8,100,100,52,60,82,100,100,10,True,"Amy Whitell, Pete Casson",2,2024-02-27 14:33:29
7,bemo,82.07705882352943,financial_inclusion,bemo is a user-centric staking app offering low-cost liquid staking with unparalleled utility in the TON DeFi ecosystem.,82.38529411764706,98.17647058823529,100,45,40,82,100,100,10,True,"Pavel Altukhov, Antony Bryantsev, Alexey Ivanov",3,2024-02-27 14:33:29
8,Compare Ethics,81.98923076923077,planet_positive,Compare Ethics is an AI-enabled sustainability assurance platform.,84.34615384615385,99.23076923076923,87,40,100,81.4,61,100,85,True,"Abbie Morris, James Omisakin, Tim Wilson",3,2024-02-27 14:33:29
9,Naby Pay,81.35578947368421,financial_inclusion,Naby Pay is a digital payment solution and business toolkit for SMEs.,78.77894736842104,99.89473684210526,96,52,20,82,100,100,10,True,"Anthony Mullally, Guy Lamothe, Ellis Lynas",3,2024-02-27 14:33:29
10,Second Winery,79.74000000000001,other,"Second Winery is a platform that redefines how wine is approached by the next generation through a gamified, social, and sustainable experience.",82.7,97,87,42,90,79,100,65,65,True,Eduardo Ferrin,1,2024-02-27 14:33:29
11,CLEEN,79.69,planet_positive,"CLEEN is a platform that makes green shopping easy, fun, and affordable.",90.45,95,100,53,90,77,100,65,55,True,Fabrice,1,2024-02-27 14:33:29
12,Homefans,79.12923076923077,other,Homefans is building the world's leading marketplace for sports experiences.,86.04615384615384,99.23076923076923,91,38,100,77.4,61,100,65,True,"Luke Verbeek, Daniel Velásquez",2,2024-02-27 14:33:29
13,Sell2Rent,79.0575,financial_inclusion,"Sell2Rent is a multi-sided PropTech platform that helps homeowners in distress sell their home, cash out, and lease back their property.",85.6875,96.6875,100,49,60,77.4,61,100,65,True,"Daniel Kattan, Alex Arguelles",2,2024-02-27 14:33:29
14,Paace,78.93,health_and_wellness,Paace is a social commerce app that gamifies exercise and allows brands to redistribute marketing spend as a reward for healthy living.,85.05,95,91,37,100,77.4,61,100,65,True,"Ed Page, Seb Cohen, Jake Briscoe",3,2024-02-27 14:33:29
15,Darksquare,78.72666666666667,financial_inclusion,"Darksquare is a platform that allows users to invest in alternative assets, providing investment research and diversification options.",84.03333333333335,97.91666666666667,83,53,100,77.4,61,100,65,True,"Daniel Harman, Alex Whitney",2,2024-02-27 14:33:29
16,*yond,78.27142857142859,other,"*yond is a social commerce platform for the travel industry, allowing travellers to plan, book and be inspired by trusted content.",89.75714285714287,99.28571428571429,96,56,90,75.4,61,100,55,True,"Mark Merrywest, Emily Vinsen",2,2024-02-27 14:33:29
17,GigBridge,78.19000000000001,other,"GigBridge is a commercial hub for construction teams, streamlining supplier management and project spending.",81.35,95,83,49,90,77.4,61,100,65,True,"Gabriel Makinwa, Tudor Stoicescu, Christian Augustine",3,2024-02-27 14:33:29
18,Prosperety,78.0823076923077,financial_inclusion,"Prosperety is solving the B2C business failure problem by connecting brands with their ideal consumers, combined with an innovative incentive model of paying off consumer debt.",94.41153846153846,98.3076923076923,100,65,100,74,100,80,10,True,"Darren Black, Naresh Gupta",2,2024-02-27 14:33:29
19,Axees,77.81,other,Axees is a freelance influencer marketplace with automated agency.,79.45,95,78,53,90,77.4,61,100,65,True,"Carlos Cavallini, Max Gallardo, Phil Nahajewski",3,2024-02-27 14:33:29
20,Prorizon,77.6323076923077,health_and_wellness,"Prorizon is a science-first software that optimizes athletes' mental, physical health and performance.",78.56153846153846,98.3076923076923,74,46,100,77.4,61,100,65,False,"Joly F Zou, Prof. Claire Stewart",2,2024-02-27 14:33:29
21,Biofuel Evolution,77.53,planet_positive,"Biofuel Evolution offers a circular, decentralised and versatile waste to renewable energy solution.",78.05,95,83,57,60,77.4,61,100,65,True,"Jaymish Patel, Viral Patel",2,2024-02-27 14:33:29
22,Epicurate,77.32000000000001,health_and_wellness,Epicurate is revolutionizing hospitality by arranging luxury experiences that increase revenue for travel companies and centralizing the supply of high-end service providers.,77,98,74,46,90,77.4,61,100,65,False,"Max Porterkhamsy, Michael Hoefer, Scott McNeely, Clara Dobson",4,2024-02-27 14:33:29
23,TravelVRse,77.27857142857144,other,TravelVRse is a social media focused direct booking platform that allows travellers to tour hotels and local areas in 3D before they travel.,84.79285714285714,97.71428571428571,96,25,90,75.4,61,100,55,True,"Alex Hurd, Lee Probert",2,2024-02-27 14:33:29
24,MC² Finance,76.83000000000001,financial_inclusion,"MC² Finance is a platform that allows experts to share strategies verified on the blockchain, and backers to copy those strategies with full regulatory compliance.",82.55,97,87,41,90,75.4,61,100,55,True,"Marine Popoff, Christoph Richter",2,2024-02-27 14:33:29
25,Skylark,76.2957142857143,education_technology,Skylark provides Netflix-level content segmentation for the rest of the streaming market.,85.47857142857143,98.64285714285714,100,15,90,74,100,80,10,True,"Justin Fyles, Matt Hayes",2,2024-02-27 14:33:30
26,MyAlice,76.12285714285716,other,MyAlice is a unified social commerce and messaging platform that empowers online merchants to convert every customer interaction into revenue.,88.61428571428573,98.57142857142857,91,66,90,73,100,50,65,False,"Shuvo Rahman, Daniyal Baig",2,2024-02-27 14:33:30
27,Kin Sail,75.84,education_technology,Kin Sail is a platform modernizing the childcare sector by driving efficiency and cost reduction.,83.2,95,87,48,90,74,100,80,10,False,"Jordon Cornish, Nick Donnelly, Oliver Diggins",3,2024-02-27 14:33:30
28,KinSail,75.83000000000001,education_technology,"KinSail is a modern platform improving connectivity in childcare, offering cost-effective solutions and data-driven insights.",83.15,97,87,45,90,74,100,80,10,False,"Jordon Cornish, Nick Donnelly, Oliver Diggins",3,2024-02-27 14:33:30
29,The School of Innovation (TSOI),75.558,education_technology,A new university designed to equip students with the knowledge and skills they'll need to innovate and thrive in our rapidly changing world.,69.79,98.45,87,24,20,77,100,65,55,True,"David Newns, William Hill, David Few, Rob Pickersgill, Prof. Mark Maeby, Amanda Layne, Joanne Roxburgh, Dan Mian",8,2024-02-27 14:33:30
30,Cloud Capital,75.55714285714285,financial_inclusion,"Cloud Capital is creating a new market for tradable cloud infrastructure, offering a collaborative forecasting platform and risk-free optimization to deliver up to 40% cloud savings.",69.78571428571428,98.92857142857143,70,10,90,77,100,65,55,False,"Ed Barrow, Spencer Pingry, Zack Liscio",3,2024-02-27 14:33:30
31,The School of Innovation,75.462,education_technology,A new university designed to equip students with the knowledge and skills they'll need to innovate and thrive in our rapidly changing world.,69.31,99.8,87,19,20,77,100,65,55,True,"David Newns, William Hill, David Few, Rob Pickersgill",4,2024-02-27 14:33:30
32,COMN Technologies,75.18,planet_positive,"COMN Technologies is building the first Internet in space with software and hardware to provide Security, Interoperability, Performance, Edge Processing and Network Resources.",87.9,97.75,83,79,100,72,100,80,0,True,"Jonathan Rhodes, Christopher Wolff",2,2024-02-27 14:33:30
33,GARMST,75.15,other,"GARMST offers a convenient, curated, and cost-effective clothing rental service for men.",79.75,95,78,45,100,74,100,80,10,False,"Jack Zuliani, Gabby Zuliani",2,2024-02-27 14:33:30
34,Enjoy the Air Ltd.,75.14000000000001,planet_positive,"Enjoy the Air Ltd. is a startup that provides a platform for investors and corporates to measure the impact of their investments on the environment, health, and society.",74.1,98,91,60,0,75.4,61,100,55,False,"Kate Barnard, Hayden Sutherland, Errol Kruger, Matt Ryans",4,2024-02-27 14:33:30
35,Nudge,73.88133333333333,education_technology,"Nudge is the first revenue operating system for private school admissions, engagement, and re-enrollment.",81.40666666666667,97.53333333333333,83,56,80,72,100,80,0,True,"Jorge S., Ben S., Diego M.",3,2024-02-27 14:33:30
36,Awertise,72.62,other,"Awertise is a game-changing shift in live streaming AdTech, linking live ads to relevant streamers and boosting advertiser profit and viewer experience.",85.5,95,91,40,100,69.4,61,80,65,True,"Ivan Danishevskyi, Artyom Odintsov, Ihor Kryvych, Rodion Yevsiukov, Oleksii Korzhenko",5,2024-02-27 14:33:30
37,MEGI Health Ltd,71.71000000000001,health_and_wellness,"MEGI is an AI cardiovascular health navigator that helps patients monitor, understand & improve their heart health.",80.95,95,87,43,80,69.4,61,80,65,True,"Nina Sesto, Ines Knezevic",2,2024-02-27 14:33:30
38,Arc.X,71.35333333333334,health_and_wellness,Arc.X is a revolutionary wearable technology that provides intuitive hands-free music control for physical activities.,80.76666666666667,99.33333333333333,87,36,80,69,100,40,65,True,"Paul Blair, Kumar Bala",2,2024-02-27 14:33:30
39,cartd,71.18,other,Cartd is a retail's creator storefront that turns content into commerce.,78.3,100,74,52,90,69.4,61,80,65,True,"Watson Gardiner, Ben Hawkins",2,2024-02-27 14:33:30
40,Passion Fruit,71.12727272727274,other,"Passion Fruit is a platform for creator-branded mobile networks, offering compelling mobile bundles for fans and a scalable revenue stream for creators.",90.03636363636365,98.18181818181819,100,46,90,66.4,61,100,10,True,"Matthew Hewston, Dan Malone, David McElligott",3,2024-02-27 14:33:30
41,OrderAl,71.00384615384615,other,OrderAl is a leading provider of remote work and AI augmentation technologies for the hospitality industry.,83.01923076923076,98.84615384615384,74,75,100,68,100,65,10,True,"Christopher Wolff, Jonathan Rhodes",2,2024-02-27 14:33:30
42,Narrow,70.97142857142858,financial_inclusion,"Narrow allows anyone to send and spend cash digitally, without needing a bank account, saving billions in fees for millions of consumers.",89.25714285714287,98.78571428571429,100,40,90,66.4,61,100,10,True,Ilya Beynenson,1,2024-02-27 14:33:30
